Status,發起人,電子領標,電子領標日,爬蟲執行時間,公告日,截止投標,開標時間,金額,WD,專案結束日,招標方式,決標方式,機關名稱,單位名稱,標案名稱,聯絡人,聯絡電話,電子郵件信箱,標的分類,連結,關鍵字
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 09:00,110/08/03 09:30,"510,000元",,,公開取得報價單或企劃書,參考最有利標精神,彰化縣政府,教育處,彰化縣教育網路中心資訊安全管理系統(ISMS)輔導暨ISO27001驗證服務案,林政言,(04)7237182,cylin0809@email.chcg.gov.tw,勞務類849-其他電腦服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535456,資訊安全
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/26 17:00,110/08/27 10:00,"8,965,780元",,,限制性招標(經公開評選或公開徵求),準用最有利標,臺中市政府地政局,資訊室,110年度臺中市政府地政資料中心資訊安全防護暨系統擴充與整合案,張仕政,(04)22218558分機63554,scottchang09@taichung.gov.tw,勞務類849-其他電腦服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534445,資訊安全
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/11 09:30,110/08/11 13:30,"138,138元",,,公開取得電子報價單,最低標,交通部臺灣鐵路管理局花蓮機廠,交通部臺灣鐵路管理局花蓮機廠,抗搖連桿緩衝橡皮，規範：TRAS(M)-1081206「依圖面及TRAS(M)-1081206規範製作並附檢驗證明」，數量：40PC。,陳映如,(03)8322403,0034466@railway.gov.tw,財物類495-鐵路及電車軌道之機車及其零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535162,驗證
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/11 09:30,110/08/11 13:30,"817,425元",,,公開取得電子報價單,最低標,交通部臺灣鐵路管理局花蓮機廠,交通部臺灣鐵路管理局花蓮機廠,胴托耐磨板(樹脂)，規範：「規範TRAS-940420-1 圖號(DR2800-93)」「依圖面及規範製作並附檢驗證明」，數量：300PC。,陳映如,(03)8322403,0034466@railway.gov.tw,財物類495-鐵路及電車軌道之機車及其零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535208,驗證
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/02 17:00,110/08/03 10:00,,,,公開招標,最低標,台灣中油股份有限公司,採購處南部採購中心採購三組,有線暨無線全網段分析儀 一批,陳冠學,(07)5824141分機2782,708895@cpc.com.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53533488,分析
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/04 17:00,110/08/05 14:00,"1,500,000元",,,公開招標,最低標,國立中央大學,國立中央大學,奈米粒徑暨界面電位分析儀,楊淑娟,(03)4227151分機57376,yang24@ncu.edu.tw,財物類449-其他特殊用途之機具及其零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53533918,分析
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 10:00,110/08/03 14:00,"3,360,000元",,,公開招標,最低標,台灣電力股份有限公司電力修護處,台灣電力股份有限公司電力修護處,斷路器分析儀二具,董招治,(03)3281713分機5807,u382681@taipower.com.tw,財物類469-其他電力設備及零件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534119,分析
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 10:00,,,,限制性招標(經公開評選或公開徵求),最低標,台灣中油股份有限公司,採購處南部採購中心採購一組,辛烷值引擎分析儀配件(廠牌:CFR) 等一批,洪前福,(07)5824141分機3398,295167@cpc.com.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53534727,分析
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/03 17:00,110/08/04 10:00,"470,000元",,,公開取得報價單或企劃書,最低標,國立清華大學,國立清華大學,連續式盤式超微量整合型酵素分析儀,魏小姐,(03)5715131分機31326,mfwei@mx.nthu.edu.tw,財物類482-做為測量、檢查、航行及其他目的用之儀器和裝置，除光學儀器; 工業程序控制設備; 上述各項之零件及附件,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53535041,分析
,EY_Crawler,TBD,,2021/07/29,110/07/28,110/08/09 17:30,110/08/10 09:30,"10,500,000元",,,限制性招標(經公開評選或公開徵求),準用最有利標,屏東縣政府,城鄉發展處農村再生專案推動辦公室,屏東農村社區產業行銷計畫委託專業服務,城鄉發展處農村再生專案推動辦公室 李峻榮,(08)7320415分機7003,a001852@oa.pthg.gov.tw,勞務類911-政府行政服務,https://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=53530997,行銷
